// Item Availability and Alias Database
//
// Structure of Database:
// ItemID,SpriteID
//
// 01. ItemID       Item ID to change.
// 02. SpriteID     Item ID which will be sent to the client instead of ItemID.
//                  If 0, the item becomes unavailable for use. If item_check is enabled and a player owns such an item, it will be removed upon next login/teleport.
//
// NOTE: Replaces an item client-side while keeping them separate server-side.
// Think of it as a way to disguise items.
// Don't sell the item in same shop with the source. Example, don't put 2240 & 2241 in same place!

2240,2241 //Beard - Grampa Beard

//Treasure Hunters Quest Items
//use these aliases if your game client doesn't support them normally
//7950,7021
//7951,7042
//1998,1250
//1999,1472

//St. Patric's Day Quest (2008) Items
//Enable if you plan to use the quest.
//12715,7721
//7915,673
//7916,675

50025,6636 //ÈûÀÇ½ºÅæ(»ó´Ü)
50026,6637
50027,6638
50028,6639
50029,6640
50030,6641
50035,6716
50039,6740
50040,6741
50045,6790
50046,6791
50047,6792
50048,6943
50049,6944
50101,6999
50057,25000
50021,25068
50022,25069
50085,25171
50087,25207
50090,25210
50096,25304
50013,25172

50031,6642 //°ø°Ý½ºÅæ(Áß´Ü)
50032,6643
50036,6717
50041,6742
50042,6743
50043,6744
50050,6945
50051,6946
50052,6947
50053,6948
50054,6949
50055,6950
50058,25001
50059,25002
50060,25003
50061,25004
50062,25005
50063,25006
50064,25007
50075,25060
50076,25061
50023,25070
50084,25141
50014,25173
50086,25175

50038,6908 //ASPD½ºÅæ(°ÉÄ¥°Í)
50088,25208 //
50089,25209 //
50094,25302 //
50095,25303 //
50099,6963 //
50100,6964 //
50020,25067 //
50009,25170 //
50102,25306 //

50033,6644 //¸íÁß½ºÅæ(ÇÏ´Ü)
50034,6645 //
50037,6718 //
50044,6745 //
50056,6951 //
50065,25008 //
50066,25009 //
50067,25010 //
50068,25011 //
50069,25012 //
50070,25013 //
50071,25014 //
50072,25015 //
50073,25016 //
50074,25017 //
50077,25062 //
50078,25063 //
50079,25064 //
50080,25065 //
50024,25071 //
50081,25072 //
50082,25139 //
50083,25140 //
50015,25174 //
50091,25227 //
50092,25228 //
50093,25229 //
50097,25305 //
