// Item Trade Restrictions Database
// Defines special trade rules for individual items.
//
// Structure of Database:
// Item ID, TradeMask,Group Level Override
//
// Legend for 'TradeMask' field (bitmask):
// 1   - item can't be dropped
// 2   - item can't be traded (nor vended)
// 4   - wedded partner can override restriction 2
// 8   - item can't be sold to npcs
// 16  - item can't be placed in the cart
// 32  - item can't be placed in the storage
// 64  - item can't be placed in the guild storage
// 128 - item can't be attached to mail
// 256 - item can't be auctioned
//
// Example:
// 1161,67,50
//	Balmung cannot be dropped, traded, or placed in Guild Storage (1+2+64).
//	Only groups of group-level 50 and up can override this setting.

// Wedding Related items
2634,507,100// 결혼반지
2635,507,100// 결혼반지

// "2005 The Sign" related items
7177,507,100// 별빛의 흐느낌 조각
7178,507,100// 별빛의 흐느낌
7304,507,100// 마녀의 주문서
7305,507,100// 아홉세계의 권위
7306,507,100// 영혼의 조각
7307,507,100// 영혼의 속삭임
7308,507,100// 마녀의 물약
7309,507,100// 까마귀의 날개
2642,507,100// 세린의 금반지
2644,507,100// 더 사인
7314,507,100// 더 사인
7025,475,100// 마왕의 눈물

// "2nd Anniversary Event" items
// "Eye of Hellion" items
2647,507,100// 나일로즈
7332,507,100// 석판
7333,507,100// 석판의 조각
7334,507,100// 석판의 조각
7335,507,100// 석판의 조각
7336,507,100// 석판의 조각
7339,507,100// 기념 교통카드
5132,472,100// 엔젤링 모자

// "Main Quest"/"Danilion's Request" items
7416,475,100// 추천장
7417,475,100// 의뢰서A
7418,475,100// 의뢰서B

// PVP Item
7420,498,100// 해골 바가지

// 10.3 Quest items
// * "Gaebolg family Curse" items
7431,499,100// 여러권의 책
7432,507,100// 가죽 주머니
// * "Thanatos Tower" items
7421,499,100// 빨간 열쇠
7422,499,100// 노란 열쇠
7423,499,100// 파란 열쇠
7424,499,100// 초록 열쇠
7425,499,100// 검정 열쇠
7426,499,100// 빨강 마력석
7427,499,100// 노란 마력석
7428,499,100// 파란 마력석
7429,499,100// 초록 마력석
7430,499,100// 검정 마력석

// Chinese New Year
7484,507,100// 용사의 상징
7485,507,100// 운장의 서
7486,507,100// 풍장의 서

// "Kiel Hyre's Cottage" Quest related items
7487,507,100// 주점의 술
7488,507,100// 배달용 상자
7489,507,100// 별장의 보조열쇠
7490,507,100// 편지 엘리에게
7491,507,100// 철상자
7492,507,100// 노란 키카드
7493,507,100// 황금색 열쇠
7494,507,100// 고급단추
7495,507,100// 파란 키카드
7496,507,100// 빨간 키카드
7497,507,100// 금속파편
7498,507,100// 로시미에르가의 열쇠
7499,507,100// 어느 가족의 초상화
7500,507,100// 여인의 초상화
7501,507,100// K.H의 편지
7502,507,100// 제임스의 메모조각
7503,507,100// 어떤 남자의 초상화
7504,507,100// 동력장치
7505,507,100// 장난감 열쇠
7506,499,100// 까만 키카드
7508,507,100// 엘리시아의 반지
7509,475,100// 화려한 키카드
7516,499,100// 초록 키카드

// Hugel Race Track token
7515,499,100// 신기한 메달

// Chinese ????? related items
7518,499,100// 여성의 훈장
2668,499,100// 여성의 영광
7525,499,100// 여름축제티켓
7341,507,100// 낡은 펜던트

// Lighthalzen Quest items
// * Schwartzvalt Trilogy Quest items
7342,507,100// 얇은 서류철
7343,507,100// 봉인된 서류철
7344,507,100// 시노카스 사건 파일
7346,507,100// 이미르의 심장 더미
7349,507,100// 문서보관소 출입카드
// * Friendship Quest(?) Items
7351,507,100// 친구의 일기장

// ??? Indonesian Event
7527,506,100// 진실된 삶의 책
12142,506,100// 마법의 책

// "2006 USA 3rd Anniversary" related items
7530,507,100// 아마쯔 여행가이드
7531,507,100// 쿤룬 여행가이드
7532,507,100// 용지성 여행가이드
7533,507,100// 아요타야 여행가이드
7534,507,100// 아마쯔 앨범
7535,507,100// 쿤룬 앨범
7536,507,100// 용지성 앨범
7537,507,100// 아요타야 앨범

// Poring Coin items
7538,499,100// 작업용 모래
7539,499,100// 포링코인

// Brazillian Event items
7547,499,100// 축구공
7548,499,100// 축구화
7549,499,100// 브라질국기
7550,499,100// 6월13일 관람표
7551,499,100// 6월18일 관람표
7552,499,100// 6월22일 관람표

// Taiwan Besark's Day Event items
7553,499,100// 연꽃
7554,499,100// 줄무늬초
7555,499,100// 초록색향

// Taiwan 'Pink Yearning' Event items
7556,475,100// 그리운마음
7557,475,100// 초대편지
7558,475,100// 초대티켓
7559,475,100// 비밀의 화원 열쇠
2670,475,100// 그리움의 반지
2358,73,100// 천사의 예복

// India Father's Day Event items
5154,475,100// 아버지의 선글래스
5155,475,100// 아버지의 흰수염
5156,475,100// 아버지의 마스크

// Indonesia Jewel Event items
7575,507,100// 붉은색 보석
7576,507,100// 파란색 보석
7577,499,100// 노란색 보석

// Rachel Quest items
// * Aruna First (Katullanux quest)
7569,475,100// 바람의 해머
7572,475,100// 잿빛 목걸이
7573,475,100// 빛나는 목걸이

// 2006 Chinese Event items
7579,499,100// 직녀의 비단손수건

