// Dead Branch Summonable Monsters Database
//
// Structure of Database:
// MobRandomGroupID,MobID,DummyName,Rate

MOBG_Branch_Of_Dead_Tree,0,Scorpion,1001
MOBG_Branch_Of_Dead_Tree,1001,스콜피온,Scorpion
MOBG_Branch_Of_Dead_Tree,1002,포링,Poring
MOBG_Branch_Of_Dead_Tree,1004,호넷,Hornet
MOBG_Branch_Of_Dead_Tree,1005,퍼밀리어,Familiar
MOBG_Branch_Of_Dead_Tree,1007,파브르,Fabre
MOBG_Branch_Of_Dead_Tree,1008,푸파,Pupa
MOBG_Branch_Of_Dead_Tree,1009,콘도르,Condor
MOBG_Branch_Of_Dead_Tree,1010,윌로우,Willow
MOBG_Branch_Of_Dead_Tree,1011,촌촌,Chonchon
MOBG_Branch_Of_Dead_Tree,1012,로다프로그,Roda Frog
MOBG_Branch_Of_Dead_Tree,1013,울프,Wolf
MOBG_Branch_Of_Dead_Tree,1014,스포아,Spore
MOBG_Branch_Of_Dead_Tree,1015,좀비,Zombie
MOBG_Branch_Of_Dead_Tree,1016,아쳐 스켈레톤,Archer Skeleton
MOBG_Branch_Of_Dead_Tree,1018,크리미,Creamy
MOBG_Branch_Of_Dead_Tree,1019,페코페코,Peco Peco
MOBG_Branch_Of_Dead_Tree,1020,만드라고라,Mandragora
MOBG_Branch_Of_Dead_Tree,1023,오크 워리어,Orc Warrior
MOBG_Branch_Of_Dead_Tree,1024,웜테일,Wormtail
MOBG_Branch_Of_Dead_Tree,1025,보아,Boa
MOBG_Branch_Of_Dead_Tree,1026,무낙,Munak
MOBG_Branch_Of_Dead_Tree,1028,솔져 스켈레톤,Soldier Skeleton
MOBG_Branch_Of_Dead_Tree,1029,이시스,Isis
MOBG_Branch_Of_Dead_Tree,1030,아나콘다크,Anacondaq
MOBG_Branch_Of_Dead_Tree,1031,포포링,Poporing
MOBG_Branch_Of_Dead_Tree,1032,베릿트,Verit
MOBG_Branch_Of_Dead_Tree,1033,엘더 윌로우,Elder Willow
MOBG_Branch_Of_Dead_Tree,1034,타라프로그,Thara Frog
MOBG_Branch_Of_Dead_Tree,1035,헌터플라이,Hunter Fly
MOBG_Branch_Of_Dead_Tree,1036,구울,Ghoul
MOBG_Branch_Of_Dead_Tree,1037,사이드 와인더,Side Winder
MOBG_Branch_Of_Dead_Tree,1040,고렘,Golem
MOBG_Branch_Of_Dead_Tree,1041,미이라,Mummy
MOBG_Branch_Of_Dead_Tree,1042,스틸 촌촌,Steel Chonchon
MOBG_Branch_Of_Dead_Tree,1044,오본느,Obeaune
MOBG_Branch_Of_Dead_Tree,1045,마르크,Marc
MOBG_Branch_Of_Dead_Tree,1047,페코페코 알,Peco Peco Egg
MOBG_Branch_Of_Dead_Tree,1048,도둑벌레 알,Thief Bug Egg
MOBG_Branch_Of_Dead_Tree,1049,픽키,Picky
MOBG_Branch_Of_Dead_Tree,1050,픽키,Picky
MOBG_Branch_Of_Dead_Tree,1051,도둑벌레,Thief Bug
MOBG_Branch_Of_Dead_Tree,1052,로커,Rocker
MOBG_Branch_Of_Dead_Tree,1053,도둑벌레,Thief Bug Female
MOBG_Branch_Of_Dead_Tree,1054,도둑벌레,Thief Bug Male
MOBG_Branch_Of_Dead_Tree,1055,무카,Muka
MOBG_Branch_Of_Dead_Tree,1056,스모키,Smokie
MOBG_Branch_Of_Dead_Tree,1057,요요,Yoyo
MOBG_Branch_Of_Dead_Tree,1058,메틀러,Metaller
MOBG_Branch_Of_Dead_Tree,1060,빅풋,Bigfoot
MOBG_Branch_Of_Dead_Tree,1061,나이트메어,Nightmare
MOBG_Branch_Of_Dead_Tree,1062,산타포링,Santa Poring
MOBG_Branch_Of_Dead_Tree,1063,루나틱,Lunatic
MOBG_Branch_Of_Dead_Tree,1064,메갈로돈,Megalodon
MOBG_Branch_Of_Dead_Tree,1065,스트라우프,Strouf
MOBG_Branch_Of_Dead_Tree,1066,바돈,Vadon
MOBG_Branch_Of_Dead_Tree,1067,커너투스,Cornutus
MOBG_Branch_Of_Dead_Tree,1068,히드라,Hydra
MOBG_Branch_Of_Dead_Tree,1069,소드피쉬,Swordfish
MOBG_Branch_Of_Dead_Tree,1070,쿠크레,Kukre
MOBG_Branch_Of_Dead_Tree,1071,파이어럿 스켈,Pirate Skeleton
MOBG_Branch_Of_Dead_Tree,1072,카호,Kaho
MOBG_Branch_Of_Dead_Tree,1073,게,Crab
MOBG_Branch_Of_Dead_Tree,1074,조개,Shellfish
MOBG_Branch_Of_Dead_Tree,1076,스켈레톤,Skeleton
MOBG_Branch_Of_Dead_Tree,1077,포이즌 스포아,Poison Spore
MOBG_Branch_Of_Dead_Tree,1078,빨간 풀,Red Plant
MOBG_Branch_Of_Dead_Tree,1079,파란 풀,Blue Plant
MOBG_Branch_Of_Dead_Tree,1080,초록 풀,Green Plant
MOBG_Branch_Of_Dead_Tree,1081,노란 풀,Yellow Plant
MOBG_Branch_Of_Dead_Tree,1082,하얀 풀,White Plant
MOBG_Branch_Of_Dead_Tree,1083,빛나는 풀,Shining Plant
MOBG_Branch_Of_Dead_Tree,1084,검은 버섯,Black Mushroom
MOBG_Branch_Of_Dead_Tree,1085,붉은 버섯,Red Mushroom
MOBG_Branch_Of_Dead_Tree,1088,보컬,Vocal
MOBG_Branch_Of_Dead_Tree,1089,토드,Toad
MOBG_Branch_Of_Dead_Tree,1090,마스터링,Mastering
MOBG_Branch_Of_Dead_Tree,1091,드래곤 플라이,Dragon Fly
MOBG_Branch_Of_Dead_Tree,1092,떠돌이 늑대,Vagabond Wolf
MOBG_Branch_Of_Dead_Tree,1093,이클립스,Eclipse
MOBG_Branch_Of_Dead_Tree,1094,앰버나이트,Ambernite
MOBG_Branch_Of_Dead_Tree,1095,앙드레,Andre
MOBG_Branch_Of_Dead_Tree,1096,엔젤링,Angeling
MOBG_Branch_Of_Dead_Tree,1097,개미 알,Ant Egg
MOBG_Branch_Of_Dead_Tree,1098,아누비스,Anubis
MOBG_Branch_Of_Dead_Tree,1099,아르지오프,Argiope
MOBG_Branch_Of_Dead_Tree,1100,아르고스,Argos
MOBG_Branch_Of_Dead_Tree,1101,바포메트 주니어,Baphomet Jr.
MOBG_Branch_Of_Dead_Tree,1102,바소리,Bathory
MOBG_Branch_Of_Dead_Tree,1103,카라멜,Caramel
MOBG_Branch_Of_Dead_Tree,1104,코코,Coco
MOBG_Branch_Of_Dead_Tree,1105,데니로,Deniro
MOBG_Branch_Of_Dead_Tree,1106,데저트 울프,Desert Wolf
MOBG_Branch_Of_Dead_Tree,1107,데저트 울프,Baby Desert Wolf
MOBG_Branch_Of_Dead_Tree,1108,데비어스,Deviace
MOBG_Branch_Of_Dead_Tree,1109,데비루치,Deviruchi
MOBG_Branch_Of_Dead_Tree,1110,도깨비,Dokebi
MOBG_Branch_Of_Dead_Tree,1111,드레인리어,Drainliar
MOBG_Branch_Of_Dead_Tree,1113,드롭프스,Drops
MOBG_Branch_Of_Dead_Tree,1114,더스티네스,Dustiness
MOBG_Branch_Of_Dead_Tree,1116,에기라,Eggyra
MOBG_Branch_Of_Dead_Tree,1117,이블 드루이드,Evil Druid
MOBG_Branch_Of_Dead_Tree,1118,플로라,Flora
MOBG_Branch_Of_Dead_Tree,1119,프릴도라,Frilldora
MOBG_Branch_Of_Dead_Tree,1120,고스트링,Ghostring
MOBG_Branch_Of_Dead_Tree,1121,가이아스,Giearth
MOBG_Branch_Of_Dead_Tree,1122,고블린,Goblin
MOBG_Branch_Of_Dead_Tree,1123,고블린,Goblin
MOBG_Branch_Of_Dead_Tree,1124,고블린,Goblin
MOBG_Branch_Of_Dead_Tree,1125,고블린,Goblin
MOBG_Branch_Of_Dead_Tree,1126,고블린,Goblin
MOBG_Branch_Of_Dead_Tree,1127,호드,Hode
MOBG_Branch_Of_Dead_Tree,1128,호른,Horn
