// Gift Box Obtainable Items Database
//
// Structure of Database:
// GroupID,ItemID,Rate

// GiftBox
IG_GiftBox,501,1// 빨간포션
IG_GiftBox,502,1// 주홍포션
IG_GiftBox,503,1// 노란포션
IG_GiftBox,504,1// 하얀포션
IG_GiftBox,505,1// 파란포션
IG_GiftBox,506,1// 초록포션
IG_GiftBox,526,1// 로얄제리
IG_GiftBox,529,1// 사탕
IG_GiftBox,530,1// 막대사탕
IG_GiftBox,537,1// 펫 푸드
IG_GiftBox,538,1// 잘 구운 쿠키
IG_GiftBox,539,1// 조각 케이크
IG_GiftBox,617,1// 오래된 보라색 상자
IG_GiftBox,644,19// 선물상자
IG_GiftBox,706,1// 네잎 클로버
IG_GiftBox,718,1// 가넷
IG_GiftBox,719,1// 아메디스트
IG_GiftBox,720,1// 아쿠아마린
IG_GiftBox,721,1// 에메랄드
IG_GiftBox,722,1// 진주
IG_GiftBox,723,1// 루비
IG_GiftBox,724,1// 저주받은 루비
IG_GiftBox,725,1// 사드오닉스
IG_GiftBox,726,1// 사파이어
IG_GiftBox,727,1// 오팔
IG_GiftBox,728,1// 토파즈
IG_GiftBox,729,1// 질콘
IG_GiftBox,730,1// 다이아몬드 1캐럿
IG_GiftBox,731,1// 다이아몬드 2캐럿
IG_GiftBox,732,1// 다이아몬드 3캐럿
IG_GiftBox,733,1// 손상된 다이아몬드
IG_GiftBox,734,1// 붉은색 액자
IG_GiftBox,735,1// 푸른색 도자기
IG_GiftBox,736,1// 하얀색 접시
IG_GiftBox,737,1// 검은색 국자
IG_GiftBox,738,1// 연필꽂이
IG_GiftBox,739,1// 화장품
IG_GiftBox,740,1// 봉제인형
IG_GiftBox,741,1// 포링인형
IG_GiftBox,742,1// 촌촌인형
IG_GiftBox,743,1// 스포아인형
IG_GiftBox,744,1// 꽃다발
IG_GiftBox,745,1// 부케
IG_GiftBox,746,1// 유리구슬
IG_GiftBox,747,1// 수정으로 만든 거울
IG_GiftBox,748,1// 시들지 않는 장미
IG_GiftBox,749,1// 얼음 장미
IG_GiftBox,750,1// 바포메트인형
IG_GiftBox,751,1// 오시리스인형
IG_GiftBox,752,1// 메뚜기인형
IG_GiftBox,753,1// 원숭이인형
IG_GiftBox,754,1// 너구리인형
IG_GiftBox,969,1// 황금
IG_GiftBox,975,1// 빨간색 염료
IG_GiftBox,976,1// 노란색 염료
IG_GiftBox,978,1// 파란색 염료
IG_GiftBox,979,1// 초록색 염료
IG_GiftBox,980,1// 주홍색 염료
IG_GiftBox,981,1// 보라색 염료
IG_GiftBox,982,1// 하얀색 염료
IG_GiftBox,983,1// 검은색 염료
IG_GiftBox,994,1// 프레임 하트
IG_GiftBox,995,1// 미스틱 프로즌
IG_GiftBox,996,1// 러프 윈드
IG_GiftBox,997,1// 그레이트 네이쳐
IG_GiftBox,999,1// 강철
IG_GiftBox,1000,1// 별의 조각
IG_GiftBox,1558,1// 소녀의 일기장
IG_GiftBox,4005,1// 산타포링 카드
IG_GiftBox,7034,1// 구멍난 빨간양말
// GiftBox_1
IG_GiftBox_1,501,1// 빨간포션
IG_GiftBox_1,502,1// 주홍포션
IG_GiftBox_1,503,1// 노란포션
IG_GiftBox_1,504,1// 하얀포션
IG_GiftBox_1,505,1// 파란포션
IG_GiftBox_1,506,1// 초록포션
IG_GiftBox_1,526,1// 로얄제리
IG_GiftBox_1,529,1// 사탕
IG_GiftBox_1,530,1// 막대사탕
IG_GiftBox_1,537,1// 펫 푸드
IG_GiftBox_1,538,1// 잘 구운 쿠키
IG_GiftBox_1,539,1// 조각 케이크
IG_GiftBox_1,617,1// 오래된 보라색 상자
IG_GiftBox_1,644,19// 선물상자
IG_GiftBox_1,706,1// 네잎 클로버
IG_GiftBox_1,718,1// 가넷
IG_GiftBox_1,719,1// 아메디스트
IG_GiftBox_1,720,1// 아쿠아마린
IG_GiftBox_1,721,1// 에메랄드
IG_GiftBox_1,722,1// 진주
IG_GiftBox_1,723,1// 루비
IG_GiftBox_1,724,1// 저주받은 루비
IG_GiftBox_1,725,1// 사드오닉스
IG_GiftBox_1,726,1// 사파이어
IG_GiftBox_1,727,1// 오팔
IG_GiftBox_1,728,1// 토파즈
IG_GiftBox_1,729,1// 질콘
IG_GiftBox_1,730,1// 다이아몬드 1캐럿
IG_GiftBox_1,731,1// 다이아몬드 2캐럿
IG_GiftBox_1,732,1// 다이아몬드 3캐럿
IG_GiftBox_1,733,1// 손상된 다이아몬드
IG_GiftBox_1,734,1// 붉은색 액자
IG_GiftBox_1,735,1// 푸른색 도자기
IG_GiftBox_1,736,1// 하얀색 접시
IG_GiftBox_1,737,1// 검은색 국자
IG_GiftBox_1,738,1// 연필꽂이
IG_GiftBox_1,739,1// 화장품
IG_GiftBox_1,740,1// 봉제인형
IG_GiftBox_1,741,1// 포링인형
IG_GiftBox_1,742,1// 촌촌인형
IG_GiftBox_1,743,1// 스포아인형
IG_GiftBox_1,744,1// 꽃다발
IG_GiftBox_1,745,1// 부케
