// Item Trade Restrictions Database
// Defines special trade rules for individual items.
//
// Structure of Database:
// Item ID, TradeMask,Group Level Override
//
// Legend for 'TradeMask' field (bitmask):
// 1   - item can't be dropped
// 2   - item can't be traded (nor vended)
// 4   - wedded partner can override restriction 2
// 8   - item can't be sold to npcs
// 16  - item can't be placed in the cart
// 32  - item can't be placed in the storage
// 64  - item can't be placed in the guild storage
// 128 - item can't be attached to mail
// 256 - item can't be auctioned
//
// Example:
// 1161,67,50
//	Balmung cannot be dropped, traded, or placed in Guild Storage (1+2+64).
//	Only groups of group-level 50 and up can override this setting.

547,8,100// 화이트 슬림 포션
598,475,100// 가벼운 빨간포션
599,475,100// 가벼운 주홍포션
603,8,100// 오래된 파란상자
617,8,100// 오래된 보라색 상자
671,507,100// 룰렛 금화
675,507,100// 룰렛 은화
744,1,100// 꽃다발
745,1,100// 부케
1173,507,100// 무라마사
1174,507,100// 액서큐셔너
1177,475,100// 무랑맛살
1183,499,100// 돌격대장의 카츠발게르
1184,499,100// 돌격대장의 카츠발게르
1187,499,100// 글로리어스 크레이모어
1190,507,100// 크레이모어
1192,499,100// P.슬레이어Ⅰ
1193,499,100// P.슬레이어Ⅱ
1197,499,100// P.슬레이어Ⅲ
1198,507,100// 갈치
1243,499,100// 초보자용 망고슈
1267,507,100// 등뒤를 베는자
1272,475,100// 등 뒤를 긁는 자
1273,507,100// 블러디로어
1274,507,100// 언홀리터치
1279,499,100// 학살의 카타르
1280,499,100// 학살의 카타르
1281,499,100// 글로리어스 블러디 로어
1282,499,100// 글로리어스 자마다르
1283,507,100// 재빠른 카타르
1286,507,100// 자마다르
1288,507,100// 블러디피어
1289,499,100// P.카타르Ⅰ
1296,499,100// 메탈 카타르
1299,499,100// TE 공성 카타르
1310,499,100// 글로리어스 클리버
1312,507,100// 오키쉬 액스
1313,499,100// 여행자의 도끼
1319,499,100// TE 공성 액스
1372,507,100// 라이트엡실론
1373,507,100// 블러드 액스
1374,507,100// 토마호크
1378,507,100// 그레이트액스
1379,499,100// 광전사의 배틀엑스
1380,499,100// 광전사의 배틀엑스
1382,499,100// 글로리어스 투핸드 액스
1386,507,100// 둠 슬레이어
1388,507,100// 투핸드액스
1391,499,100// P.투핸드액스Ⅰ
1398,499,100// 메탈 투핸드액스
1399,499,100// TE 공성 투핸드 액스
1419,507,100// 폴액스
1423,475,100// 폴X.O
1424,507,100// 꼬챙이
1425,499,100// 돌격대장의 스피어
1426,499,100// 글로리어스 스피어
1427,507,100// 훌륭한 장창
1428,475,100// 롱혼
1429,475,100// 헌팅 스피어
1430,507,100// 파이크
1434,499,100// P.스피어Ⅰ
1437,499,100// TE 공성 파이크
1482,499,100// 돌격대장의 랜스
1486,499,100// 글로리어스 랜스
1487,507,100// 랜스
1488,507,100// 알슈피스
1489,507,100// 청새치
1493,499,100// 메탈 랜스
1495,499,100// TE 공성 랜스
1533,507,100// 용사의 발뭉
1534,507,100// 스패너
1536,475,100// 굿모닝스타
1537,507,100// 쿼드릴
1542,499,100// 투사의 모닝스타
1543,499,100// 투사의 모닝스타
1546,499,100// 글로리어스 모닝스타
1547,507,100// 광기의 둔기
1563,507,100// 현자의 일기
1566,475,100// 현지의 일기
1567,507,100// 양장본
1574,499,100// 손자병법
1575,499,100// 손자병법
1576,499,100// 글로리어스 타블렛
1577,499,100// 글로리어스 아포칼립스
1578,507,100// 기도하는 자의 서
1579,475,100// 사신의 명부
1580,507,100// 대백과 사전
1583,499,100// P.사전Ⅰ
1588,499,100// 메탈 북
1591,499,100// TE 공성 책
//1598,499,100	//
1623,507,100// 마이트스태프
1627,475,100// 스탬프
1628,507,100// 생존의 지팡이
1632,499,100// 워락의 마법지팡이
1633,499,100// 워락의 전투지팡이
1634,499,100// 강한 회복의 지팡이
1635,499,100// 빠른 회복의 지팡이
1638,507,100// 치유의 지팡이
1640,499,100// 글로리어스 아크완드
1641,499,100// 글로리어스 치유지팡이
1642,507,100// 밝지 못한 자의 지팡이
1644,475,100// 스태프 오브 피어싱
1645,475,100// 리치의 해골지팡이
1650,499,100// P.스태프Ⅰ
1651,499,100// P.스태프Ⅱ
1652,499,100// 여행자의 지팡이
1653,507,100// 힐링 스태프
1658,499,100// P.스태프Ⅲ
1667,499,100// TE 공성 스태프
1681,403,100// 새싹 강아지풀 지팡이
1687,403,100// 초보자용 강아지풀 지팡이
1699,435,100// P.강아지풀Ⅰ
1703,507,100// 보우
1728,507,100// 발리스타
1729,507,100// 루드라의 활
1735,475,100// 깍궁
1738,499,100// 배틀 크로스보우
1739,499,100// 배틀 크로스보우
1743,499,100// 글로리어스 헌터보우
1744,507,100// 악마의 활
1747,499,100// P.보우Ⅰ
1748,499,100// P.보우Ⅱ
1749,499,100// 여행자의 활
1817,507,100// 카이저너클
1823,499,100// 투사의 배틀 피스트
1824,499,100// 투사의 배틀 피스트
1826,499,100// 글로리어스 크로
1827,499,100// 글로리어스 피스트
1828,507,100// 수도승의 너클
1829,507,100// 피스트
1831,499,100// P.너클Ⅰ
1834,499,100// TE 공성 피스트
1921,475,100// 거문곰
1923,499,100// 전장의 기타
1924,499,100// 전장의 기타
1927,499,100// 글로리어스 기타
1928,507,100// 신들린 기타
1929,507,100// 기타
1931,499,100// P.현악기Ⅰ
1932,499,100// TE 공성 기타
1938,467,100// 무한의 바이올린
1975,475,100// 여왕님은 채찍
1977,499,100// 배틀 라리어트
1978,499,100// 배틀 라리어트
1981,499,100// 글로리어스 라리어트
